age_group,education,race,sex,income_poverty,marital_status,rent_or_own,employment_status,hhs_geo_region,census_msa
45 - 54 Years,12 Years,White,Male,"<= $75,000, Above Poverty",Not Married,Rent,Employed,lzgpxyit,Non-MSA
55 - 64 Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Married,Own,Employed,mlyzmhmf,Non-MSA
18 - 34 Years,12 Years,White,Female,Below Poverty,Not Married,Own,Employed,lzgpxyit,"MSA, Not Principle  City"
65+ Years,Some College,White,Female,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,lrircsnp,Non-MSA
35 - 44 Years,College Graduate,Black,Female,"> $75,000",Married,Own,Employed,lzgpxyit,"MSA, Not Principle  City"
35 - 44 Years,College Graduate,White,Male,"<= $75,000, Above Poverty",Married,Own,Employed,qufhixun,"MSA, Not Principle  City"
18 - 34 Years,< 12 Years,Other or Multiple,Male,"<= $75,000, Above Poverty",Married,Rent,Employed,bhuqouqj,"MSA, Not Principle  City"
65+ Years,College Graduate,White,Male,"> $75,000",Not Married,Own,Not in Labor Force,mlyzmhmf,"MSA, Principle City"
35 - 44 Years,12 Years,Black,Female,Below Poverty,Not Married,Rent,Unemployed,fpwskwrf,"MSA, Principle City"
35 - 44 Years,College Graduate,White,Female,"> $75,000",Married,Own,Employed,qufhixun,Non-MSA
55 - 64 Years,12 Years,White,Female,Below Poverty,Married,Rent,Not in Labor Force,dqpwygqj,"MSA, Principle City"
45 - 54 Years,< 12 Years,White,Male,Below Poverty,Married,Own,Unemployed,fpwskwrf,Non-MSA
55 - 64 Years,Some College,White,Male,"<= $75,000, Above Poverty",Married,Own,Employed,lrircsnp,Non-MSA
18 - 34 Years,12 Years,Hispanic,Male,"<= $75,000, Above Poverty",Not Married,Rent,Employed,kbazzjca,Non-MSA
35 - 44 Years,Some College,White,Female,"<= $75,000, Above Poverty",Not Married,Rent,Employed,fpwskwrf,Non-MSA
55 - 64 Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,bhuqouqj,"MSA, Principle City"
18 - 34 Years,12 Years,Hispanic,Male,"<= $75,000, Above Poverty",Not Married,Own,Unemployed,kbazzjca,Non-MSA
18 - 34 Years,College Graduate,White,Female,"> $75,000",Married,Own,Employed,lzgpxyit,"MSA, Principle City"
65+ Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Married,Own,Employed,mlyzmhmf,"MSA, Principle City"
18 - 34 Years,College Graduate,White,Male,"<= $75,000, Above Poverty",Not Married,Rent,Employed,oxchjgsf,Non-MSA
18 - 34 Years,Some College,White,Female,"<= $75,000, Above Poverty",Not Married,Rent,Employed,lzgpxyit,"MSA, Principle City"
35 - 44 Years,< 12 Years,White,Female,Below Poverty,Married,Own,Not in Labor Force,qufhixun,"MSA, Not Principle  City"
35 - 44 Years,College Graduate,Hispanic,Female,"> $75,000",Married,Own,Not in Labor Force,oxchjgsf,"MSA, Not Principle  City"
45 - 54 Years,Some College,White,Male,"> $75,000",Not Married,Own,Employed,lrircsnp,"MSA, Not Principle  City"
45 - 54 Years,12 Years,White,Female,"<= $75,000, Above Poverty",Married,Own,Employed,qufhixun,"MSA, Not Principle  City"
65+ Years,Some College,White,Female,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,qufhixun,"MSA, Not Principle  City"
35 - 44 Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Married,Own,Employed,lrircsnp,"MSA, Principle City"
45 - 54 Years,College Graduate,White,Female,"> $75,000",Married,Own,Employed,fpwskwrf,"MSA, Not Principle  City"
65+ Years,12 Years,White,Male,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,atmpeygn,Non-MSA
45 - 54 Years,12 Years,Black,Male,"<= $75,000, Above Poverty",Not Married,Rent,Employed,kbazzjca,"MSA, Principle City"
65+ Years,Some College,Black,Male,"<= $75,000, Above Poverty",Not Married,Own,Not in Labor Force,atmpeygn,"MSA, Not Principle  City"
55 - 64 Years,< 12 Years,White,Female,"<= $75,000, Above Poverty",Not Married,Own,Employed,lrircsnp,Non-MSA
55 - 64 Years,12 Years,White,Female,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,fpwskwrf,"MSA, Not Principle  City"
18 - 34 Years,12 Years,Other or Multiple,Female,Below Poverty,Not Married,Rent,Employed,mlyzmhmf,Non-MSA
45 - 54 Years,12 Years,White,Male,"<= $75,000, Above Poverty",Not Married,Own,Unemployed,mlyzmhmf,"MSA, Not Principle  City"
18 - 34 Years,< 12 Years,Black,Female,"> $75,000",Not Married,Own,Not in Labor Force,qufhixun,"MSA, Not Principle  City"
18 - 34 Years,Some College,White,Female,"<= $75,000, Above Poverty",Married,Rent,Unemployed,atmpeygn,"MSA, Not Principle  City"
55 - 64 Years,Some College,White,Male,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,atmpeygn,Non-MSA
55 - 64 Years,Some College,White,Female,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,fpwskwrf,Non-MSA
55 - 64 Years,Some College,White,Male,"<= $75,000, Above Poverty",Married,Own,Employed,lzgpxyit,"MSA, Not Principle  City"
18 - 34 Years,< 12 Years,White,Female,"> $75,000",Not Married,Rent,Not in Labor Force,oxchjgsf,Non-MSA
55 - 64 Years,College Graduate,White,Male,"<= $75,000, Above Poverty",Married,Own,Employed,oxchjgsf,Non-MSA
18 - 34 Years,College Graduate,Black,Female,"> $75,000",Not Married,Own,Employed,fpwskwrf,"MSA, Principle City"
18 - 34 Years,Some College,White,Female,"<= $75,000, Above Poverty",Not Married,Own,Not in Labor Force,fpwskwrf,"MSA, Not Principle  City"
18 - 34 Years,12 Years,White,Female,"<= $75,000, Above Poverty",Not Married,Rent,Employed,bhuqouqj,Non-MSA
18 - 34 Years,Some College,White,Male,"<= $75,000, Above Poverty",Not Married,Own,Employed,qufhixun,"MSA, Principle City"
18 - 34 Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Married,Own,Employed,lrircsnp,Non-MSA
45 - 54 Years,College Graduate,White,Male,"> $75,000",Married,Own,Employed,atmpeygn,"MSA, Principle City"
35 - 44 Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Married,Own,Employed,bhuqouqj,"MSA, Principle City"
18 - 34 Years,Some College,White,Male,"<= $75,000, Above Poverty",Married,Own,Employed,oxchjgsf,Non-MSA
55 - 64 Years,< 12 Years,Hispanic,Female,Below Poverty,Not Married,Rent,Not in Labor Force,kbazzjca,"MSA, Not Principle  City"
65+ Years,College Graduate,White,Female,"> $75,000",Married,Rent,Not in Labor Force,atmpeygn,"MSA, Not Principle  City"
55 - 64 Years,College Graduate,White,Male,"<= $75,000, Above Poverty",Married,Own,Employed,kbazzjca,Non-MSA
45 - 54 Years,12 Years,White,Male,"> $75,000",Not Married,Rent,Employed,bhuqouqj,"MSA, Not Principle  City"
35 - 44 Years,12 Years,White,Female,"> $75,000",Married,Own,Not in Labor Force,dqpwygqj,"MSA, Not Principle  City"
55 - 64 Years,College Graduate,White,Male,"> $75,000",Married,Own,Employed,fpwskwrf,"MSA, Not Principle  City"
18 - 34 Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Not Married,Rent,Employed,bhuqouqj,"MSA, Principle City"
18 - 34 Years,12 Years,White,Female,"<= $75,000, Above Poverty",Not Married,Own,Not in Labor Force,bhuqouqj,Non-MSA
65+ Years,Some College,White,Female,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,kbazzjca,"MSA, Not Principle  City"
35 - 44 Years,College Graduate,White,Female,"> $75,000",Married,Own,Employed,fpwskwrf,"MSA, Principle City"
18 - 34 Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Not Married,Rent,Not in Labor Force,oxchjgsf,"MSA, Not Principle  City"
